order_id,order_date,region,store_name,product_category,product_name,quantity,unit_price_ngn,total_sales_ngn,customer_segment
BM-11480,01/01/2025,Lagos,Bloom Mart Lekki,Fashion & Apparel,Unisex Cap,3,3100,9300,Corporate
BM-10834,01/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,2,6179,12358,Corporate
BM-10216,01/01/2025,Lagos,Bloom Mart Lekki,Grocery,Spaghetti Carton,1,10973,10973,Wholesale
BM-11396,01/01/2025,Lagos,Bloom Mart Surulere,Electronics,Bluetooth Earphones,1,10514,10514,Corporate
BM-12038,01/01/2025,Abuja,Bloom Mart Wuse,Grocery,Spaghetti Carton,1,11142,11142,Retail
BM-11811,02/01/2025,Abuja,Bloom Mart Garki,Grocery,Tomato Paste (12pk),1,7626,7626,Retail
BM-10787,02/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Blender 1.5L,1,16018,16018,Corporate
BM-12029,02/01/2025,Abuja,Bloom Mart Wuse,Grocery,Vegetable Oil 4L,1,8467,8467,Wholesale
BM-10832,02/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Non-stick Frying Pan,1,9077,9077,Retail
BM-12046,03/01/2025,Port Harcourt,Bloom Mart Rumuola,Grocery,Rice 5kg Bag,2,5980,11960,Retail
BM-11165,04/01/2025,Ibadan,Bloom Mart Bodija,Fashion & Apparel,Men's Polo Shirt,1,7528,7528,Corporate
BM-10963,04/01/2025,Abuja,Bloom Mart Garki,Toys & Games,Puzzle Game,1,3909,3909,Corporate
BM-12108,04/01/2025,Lagos,Bloom Mart Ikeja,Grocery,Vegetable Oil 4L,1,8849,8849,Corporate
BM-10379,05/01/2025,Lagos,Bloom Mart Lekki,Electronics,Extension Socket,2,6333,12666,Retail
BM-11446,05/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Blender 1.5L,1,16042,16042,Retail
BM-11761,05/01/2025,Abuja,Bloom Mart Wuse,Grocery,Rice 5kg Bag,2,6501,13002,Retail
BM-11682,05/01/2025,Ibadan,Bloom Mart Ring Road,Electronics,Power Bank 10000mAh,1,15573,15573,Corporate
BM-10318,05/01/2025,Port Harcourt,Bloom Mart GRA,Fashion & Apparel,Unisex Cap,1,2988,2988,Corporate
BM-10297,05/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Men's Polo Shirt,1,6959,6959,Retail
BM-11573,05/01/2025,Lagos,Bloom Mart Ikeja,Electronics,Power Bank 10000mAh,2,14743,29486,Retail
BM-10392,05/01/2025,Lagos,Bloom Mart Ikeja,Grocery,Rice 5kg Bag,2,6377,12754,Corporate
BM-10242,06/01/2025,Port Harcourt,Bloom Mart GRA,Health & Beauty,Hair Cream,4,3847,15388,Retail
BM-10573,06/01/2025,Abuja,Bloom Mart Wuse,Fashion & Apparel,Unisex Cap,2,3065,6130,Retail
BM-10523,06/01/2025,Abuja,Bloom Mart Garki,Fashion & Apparel,Ankara Fabric (6yds),1,17521,17521,Retail
BM-11683,06/01/2025,Port Harcourt,Bloom Mart Rumuola,Grocery,Rice 5kg Bag,1,6632,6632,Retail
BM-11808,06/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Non-stick Frying Pan,1,8708,8708,Corporate
BM-11731,06/01/2025,Abuja,Bloom Mart Wuse,Home & Kitchen,Storage Container Set,1,6271,6271,Corporate
BM-10906,07/01/2025,Lagos,Bloom Mart Surulere,Electronics,Phone Charger Cable,2,2427,4854,Corporate
BM-10514,07/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Ladies Sandals,1,9182,9182,Corporate
BM-11062,07/01/2025,Lagos,Bloom Mart Surulere,Office Supplies,Ballpoint Pens (10pk),1,1447,1447,Retail
BM-11326,07/01/2025,Lagos,Bloom Mart Surulere,Health & Beauty,Hair Cream,3,3806,11418,Retail
BM-11271,07/01/2025,Ibadan,Bloom Mart Bodija,Home & Kitchen,Cutlery Set (24pc),1,11454,11454,Retail
BM-10450,08/01/2025,Lagos,Bloom Mart Ikeja,Grocery,Tomato Paste (12pk),2,7715,15430,Wholesale
BM-11956,08/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Men's Polo Shirt,2,7542,15084,Retail
BM-11134,08/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Men's Polo Shirt,2,7263,14526,Retail
BM-12120,08/01/2025,Port Harcourt,Bloom Mart Rumuola,Home & Kitchen,Blender 1.5L,2,15608,31216,Retail
BM-11155,08/01/2025,Lagos,Bloom Mart Surulere,Electronics,Extension Socket,1,6109,6109,Wholesale
BM-11866,08/01/2025,Ibadan,Bloom Mart Bodija,Home & Kitchen,Storage Container Set,1,6702,6702,Wholesale
BM-11654,09/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,3,6395,19185,Corporate
BM-10009,09/01/2025,Lagos,Bloom Mart Lekki,Grocery,Tomato Paste (12pk),1,6990,6990,Retail
BM-10896,09/01/2025,Abuja,Bloom Mart Wuse,Grocery,Spaghetti Carton,1,11588,11588,Retail
BM-10158,09/01/2025,Port Harcourt,Bloom Mart GRA,Fashion & Apparel,Ladies Sandals,2,9226,18452,Wholesale
